leaf_name,iucn_status,domain,kingdom,phylum,N,EDGE2_mean,min,2.5pct,median,97.5pct,max,ED2_mean,min,2.5pct,median,97.5pct,max,p_ext_mean,min,2.5pct,median,97.5pct,max
Tyto_deroepstorffi_ott6520297,No status,no_domain,no_kingdom,no_phylum,1000,9.429948,0.051594,0.414844,5.928620,26.097940,26.097940,26.100550,26.100550,26.100550,26.100550,26.100550,26.100550,0.361293,0.001977,0.015894,0.227145,0.999900,0.999900
Lathamus_discolor_ott58949,CR,no_domain,no_kingdom,no_phylum,1000,9.382374,7.129795,7.287190,9.860016,10.341866,10.341866,10.342900,10.342900,10.342900,10.342900,10.342900,10.342900,0.907132,0.689342,0.704560,0.953312,0.999900,0.999900
Ptilinopus_alligator_ott6520479,No status,no_domain,no_kingdom,no_phylum,1000,9.262720,0.049042,0.431228,5.865835,26.923884,27.975414,25.946399,24.400949,24.454194,25.823769,27.877453,27.993871,0.356780,0.001841,0.016734,0.224240,0.999900,0.999900
Tockus_rufirostris_ott414338,No status,no_domain,no_kingdom,no_phylum,1000,9.259380,0.100205,0.491801,5.693551,25.910709,25.910709,25.913300,25.913300,25.913300,25.913300,25.913300,25.913300,0.357322,0.003867,0.018979,0.219715,0.999900,0.999900
Sterna_acuticauda_ott3596946,EN,no_domain,no_kingdom,no_phylum,1000,9.244358,6.396919,6.495916,9.095115,12.699935,12.866782,18.671900,18.671900,18.671900,18.671900,18.671900,18.671900,0.495095,0.342596,0.347898,0.487102,0.680163,0.689099
Eupodotis_vigorsii_ott3600030,No status,no_domain,no_kingdom,no_phylum,1000,9.169329,0.040042,0.424066,5.826667,30.453739,35.531380,24.367296,17.817970,18.147151,22.022666,35.534933,35.534933,0.380623,0.002045,0.017897,0.238197,0.999900,0.999900
Lophotibis_cristata_ott3596725,VU,no_domain,no_kingdom,no_phylum,1000,9.148723,6.330882,6.435541,8.918388,12.528712,12.736449,37.203500,37.203500,37.203500,37.203500,37.203500,37.203500,0.245910,0.170169,0.172982,0.239719,0.336762,0.342345
Cyanolimnas_cerverai_ott3599999,CR,no_domain,no_kingdom,no_phylum,1000,9.117555,6.918421,7.066595,9.711469,10.043123,10.055382,10.036713,10.034001,10.034048,10.035370,10.046577,10.056388,0.908418,0.689342,0.704064,0.967394,0.999900,0.999900
Spelaeornis_formosus_ott3598440,No status,no_domain,no_kingdom,no_phylum,1000,9.092779,0.093826,0.456941,5.716687,24.689531,24.689531,24.692000,24.692000,24.692000,24.692000,24.692000,24.692000,0.368248,0.003800,0.018506,0.231520,0.999900,0.999900
Ardea_brachyrhyncha_ott6520873,No status,no_domain,no_kingdom,no_phylum,1000,9.082136,0.062772,0.540031,5.601298,25.602240,25.602240,25.604800,25.604800,25.604800,25.604800,25.604800,25.604800,0.354704,0.002452,0.021091,0.218760,0.999900,0.999900
